Symbol,Date,Open,High,Low,Close,Adj Close,Volume
SP500TR,10/26/2017,4971.970215,4985.490234,4971.439941,4972.600098,4972.600098,0
SP500TR,10/27/2017,4991.77002,5016.430176,4983.410156,5012.75,5012.75,0
SP500TR,10/30/2017,5006.700195,5011.100098,4988.290039,4997.149902,4997.149902,0
SP500TR,10/31/2017,5003.439941,5007.910156,4995.97998,5002.029785,5002.029785,0
SP500TR,11/1/2017,5017.470215,5027.47998,5001.410156,5009.990234,5009.990234,0
SP500TR,11/2/2017,5010.709961,5013.930176,4985.049805,5011.47998,5011.47998,0
SP500TR,11/3/2017,5016.009766,5028.620117,5005.990234,5027.490234,5027.490234,0
SP500TR,11/6/2017,5027.200195,5038.660156,5023.830078,5034.299805,5034.299805,0
SP500TR,11/7/2017,5036.22998,5045.779785,5021.22998,5033.379883,5033.379883,0
SP500TR,11/8/2017,5029.72998,5042.859863,5022.660156,5040.740234,5040.740234,0
SP500TR,11/9/2017,5021.799805,5026.549805,4987.459961,5023.009766,5023.009766,0
SP500TR,11/10/2017,5016.189941,5023.22998,5007.410156,5020.310059,5020.310059,0
SP500TR,11/13/2017,5009.180176,5030.819824,5005.27002,5025.359863,5025.359863,0
SP500TR,11/14/2017,5012.350098,5016.060059,4990.620117,5014.529785,5014.529785,0
SP500TR,11/15/2017,4997.350098,5003.890137,4974.379883,4987.959961,4987.959961,0
SP500TR,11/16/2017,5005.779785,5039.100098,5005.779785,5030.47998,5030.47998,0
SP500TR,11/17/2017,5025.410156,5027.379883,5015.049805,5017.450195,5017.450195,0
SP500TR,11/20/2017,5018.859863,5028.660156,5016.419922,5024.009766,5024.009766,0
SP500TR,11/21/2017,5037.759766,5061.160156,5037.759766,5056.950195,5056.950195,0
SP500TR,11/22/2017,5059.879883,5060.970215,5050.049805,5053.600098,5053.600098,0
SP500TR,11/24/2017,5060.330078,5067.700195,5060.330078,5064.22998,5064.22998,0
SP500TR,11/27/2017,5065.25,5072.419922,5057.910156,5062.850098,5062.850098,0
SP500TR,11/28/2017,5071.850098,5114.140137,5070.879883,5112.910156,5112.910156,0
SP500TR,11/29/2017,5115.100098,5128.790039,5100.529785,5111.680176,5111.680176,0
SP500TR,11/30/2017,5128.870117,5174.640137,5128.870117,5155.439941,5155.439941,0
SP500TR,12/1/2017,5150.830078,5161.529785,5074.140137,5145.209961,5145.209961,0
SP500TR,12/4/2017,5174.490234,5190.069824,5139.129883,5139.910156,5139.910156,0
SP500TR,12/5/2017,5140.790039,5158.060059,5117.370117,5120.919922,5120.919922,0
SP500TR,12/6/2017,5114.560059,5130.259766,5111.819824,5120.459961,5120.459961,0
SP500TR,12/7/2017,5119.640137,5144.160156,5116.72998,5136.370117,5136.370117,0
SP500TR,12/8/2017,5154.879883,5165.459961,5150.839844,5165.189941,5165.189941,0
SP500TR,12/11/2017,5166.560059,5182.430176,5165.169922,5181.75,5181.75,0
SP500TR,12/12/2017,5185.339844,5200.899902,5181.540039,5189.959961,5189.959961,0
SP500TR,12/13/2017,5196.930176,5205.290039,5187.680176,5187.680176,5187.680176,0
SP500TR,12/14/2017,5194.439941,5198.709961,5167.450195,5167.450195,5167.450195,0
SP500TR,12/15/2017,5184.529785,5221.560059,5182.640137,5214.100098,5214.100098,0
SP500TR,12/18/2017,5234.029785,5251.390137,5234.029785,5242.279785,5242.279785,0
SP500TR,12/19/2017,5247.330078,5250.620117,5224.049805,5225.430176,5225.430176,0
SP500TR,12/20/2017,5239.200195,5244.669922,5215.850098,5221.790039,5221.790039,0
SP500TR,12/21/2017,5229.140137,5247.850098,5227.930176,5232.160156,5232.160156,0
SP500TR,12/22/2017,5231.52002,5233.689941,5219.689941,5229.790039,5229.790039,0
SP500TR,12/26/2017,5221.75,5228.839844,5219.609863,5224.509766,5224.509766,0
SP500TR,12/27/2017,5228.009766,5234.879883,5221.779785,5229.009766,5229.009766,0
SP500TR,12/28/2017,5236.790039,5239.77002,5230.160156,5239.589844,5239.589844,0
SP500TR,12/29/2017,5243.060059,5248.859863,5212.759766,5212.759766,5212.759766,0
SP500TR,1/2/2018,5232.720215,5256.399902,5230.060059,5256.279785,5256.279785,0
SP500TR,1/3/2018,5260.27002,5292.47998,5260.189941,5289.919922,5289.919922,0
SP500TR,1/4/2018,5303.209961,5322.580078,5302.779785,5312.330078,5312.330078,0
SP500TR,1/5/2018,5326.640137,5350.240234,5320.069824,5349.689941,5349.689941,0
SP500TR,1/8/2018,5348.850098,5360.240234,5338.950195,5358.680176,5358.680176,0
SP500TR,1/9/2018,5367,5382.580078,5360.580078,5367.259766,5367.259766,0
SP500TR,1/10/2018,5356.120117,5366.22998,5337.660156,5361.330078,5361.330078,0
